SA1_7DIGITCODE_2016,State,div_nm,Formal_votes,ALP_TPP,ALP_TPP_pc,ALP_TPP_swing,LNP_TPP,LNP_TPP_pc,LNP_TPP_swing
4100101,SA,Adelaide,330.8,194.3,58.74,0.77,136.5,41.26,-0.77
4100102,SA,Adelaide,256.5,147.6,57.53,0.16,109,42.47,-0.16
4100103,SA,Adelaide,139.6,78.78,56.45,-0.18,60.78,43.55,0.18
4100104,SA,Adelaide,399.5,237.3,59.4,1.1,162.2,40.6,-1.1
4100105,SA,Adelaide,272.9,161.8,59.28,0.22,111.1,40.72,-0.22
4100106,SA,Adelaide,305.2,179,58.65,0.47,126.2,41.35,-0.47
4100107,SA,Adelaide,264.2,152.3,57.65,0.21,111.9,42.35,-0.21
4100108,SA,Adelaide,167.1,96.22,57.59,0.23,70.85,42.41,-0.23
4100111,SA,Adelaide,5.86,3.43,58.49,2.19,2.43,41.51,-2.19
4100113,SA,Adelaide,322.1,191.2,59.36,0.53,130.9,40.64,-0.53
4100114,SA,Adelaide,322.3,189.1,58.66,0.91,133.2,41.34,-0.91
4100115,SA,Adelaide,235.5,142.1,60.35,1.41,93.36,39.65,-1.41
4100116,SA,Adelaide,355.4,212.6,59.81,0.91,142.8,40.19,-0.91
4100117,SA,Adelaide,196.6,118,60.03,1.67,78.57,39.97,-1.67
4100118,SA,Adelaide,171.9,104.8,61.01,2.35,67.01,38.99,-2.35
4100119,SA,Adelaide,251.5,155.8,61.96,3.29,95.67,38.04,-3.29
4100120,SA,Adelaide,105.8,67.09,63.43,4.42,38.68,36.57,-4.42
4100122,SA,Adelaide,25.1,14.94,59.53,2.26,10.16,40.47,-2.26
4100126,SA,Adelaide,1.95,1.04,53.46,,0.91,46.54,
4100130,SA,Adelaide,239.9,136.2,56.78,0.6,103.7,43.22,-0.6
4100133,SA,Adelaide,191.8,121.2,63.17,5.04,70.64,36.83,-5.04
4100134,SA,Adelaide,117,67.43,57.63,0.12,49.58,42.37,-0.12
4100135,SA,Adelaide,38.84,23.41,60.26,1.01,15.43,39.74,-1.01
4100136,SA,Adelaide,169.9,96.93,57.04,0.51,73.01,42.96,-0.51
4100138,SA,Adelaide,196.9,117.5,59.68,0.48,79.36,40.32,-0.48
4100139,SA,Adelaide,37.85,23.32,61.62,0.32,14.53,38.38,-0.32
4100140,SA,Adelaide,133.5,77.52,58.05,0.82,56.02,41.95,-0.82
4100141,SA,Adelaide,90.53,52.6,58.11,1.12,37.92,41.89,-1.12
4100142,SA,Adelaide,125.9,71.33,56.65,0.11,54.58,43.35,-0.11
4100143,SA,Adelaide,78.92,45.5,57.66,0.36,33.42,42.34,-0.36
4100144,SA,Adelaide,203.5,121.7,59.78,0.54,81.86,40.22,-0.54
4100145,SA,Adelaide,131.9,87,65.97,6.01,44.88,34.03,-6.01
4100146,SA,Adelaide,76.85,46.42,60.4,1.53,30.43,39.6,-1.53
4100147,SA,Adelaide,176.7,106.8,60.4,2.32,69.98,39.6,-2.32
4100148,SA,Adelaide,106.2,62.26,58.65,0.66,43.9,41.35,-0.66
4100201,SA,Adelaide,215.4,111.7,51.85,1.56,103.7,48.15,-1.56
4100202,SA,Adelaide,211.8,105.6,49.86,-1.08,106.2,50.14,1.08
4100203,SA,Adelaide,206.2,100.6,48.79,-2.36,105.6,51.21,2.36
4100204,SA,Adelaide,251,123,49.02,-1.43,127.9,50.98,1.43
4100205,SA,Adelaide,438.1,212.9,48.6,-2.06,225.2,51.4,2.06
4100206,SA,Adelaide,185.9,95.24,51.23,2.4,90.68,48.77,-2.4
4100207,SA,Adelaide,165.1,83.87,50.79,2.56,81.27,49.21,-2.56
4100208,SA,Adelaide,287.4,145.6,50.66,1.39,141.8,49.34,-1.39
4100209,SA,Adelaide,185.5,94.4,50.88,2.34,91.15,49.12,-2.34
4100210,SA,Adelaide,159.8,82.79,51.8,2.41,77.04,48.2,-2.41
4100211,SA,Adelaide,245.8,125.1,50.9,2.52,120.7,49.1,-2.52
4100212,SA,Adelaide,226.4,116.4,51.43,2.43,110,48.57,-2.43
4100214,SA,Adelaide,206.6,104.8,50.73,1.54,101.8,49.27,-1.54
4100215,SA,Adelaide,272,140.9,51.79,2.16,131.1,48.21,-2.16
4100216,SA,Adelaide,311,162.5,52.26,2.22,148.5,47.74,-2.22
4100219,SA,Adelaide,131.7,67.26,51.06,2.19,64.47,48.94,-2.19
4100220,SA,Adelaide,200.8,103.5,51.54,2.02,97.32,48.46,-2.02
4100221,SA,Adelaide,174.6,91.29,52.28,2.22,83.32,47.72,-2.22
4101306,SA,Adelaide,212.6,118.5,55.72,1.96,94.16,44.28,-1.96
4101308,SA,Adelaide,327.9,181.6,55.38,1.97,146.3,44.62,-1.97
4102001,SA,Adelaide,217.9,103.7,47.59,-0.53,114.2,52.41,0.53
4102002,SA,Adelaide,221.4,116.2,52.51,-0.78,105.2,47.49,0.78
4102003,SA,Adelaide,226.4,118.5,52.33,-0.59,107.9,47.67,0.59
4102004,SA,Adelaide,405.4,211.4,52.15,-0.45,194,47.85,0.45
4102005,SA,Adelaide,319,164.6,51.6,-0.74,154.4,48.4,0.74
4102006,SA,Adelaide,374.2,198.5,53.05,-2.11,175.7,46.95,2.11
4102007,SA,Adelaide,401.9,216.2,53.8,-2.75,185.7,46.2,2.75
4102008,SA,Adelaide,282.4,151.3,53.58,-2.84,131.1,46.42,2.84
4102009,SA,Adelaide,248.2,129.4,52.13,-1.7,118.8,47.87,1.7
4102010,SA,Adelaide,259.8,124.4,47.89,-2.16,135.4,52.11,2.16
4102011,SA,Adelaide,338.1,177.5,52.49,-2.14,160.6,47.51,2.14
4102012,SA,Adelaide,237.7,113.6,47.79,0.13,124.1,52.21,-0.13
4102013,SA,Adelaide,160.3,78.23,48.8,-1.88,82.08,51.2,1.88
4102014,SA,Adelaide,298.8,158.3,52.98,-2.3,140.5,47.02,2.3
4102101,SA,Adelaide,308,175.7,57.05,-0.29,132.3,42.95,0.29
4102102,SA,Adelaide,365.7,210.5,57.57,-0.34,155.1,42.43,0.34
4102103,SA,Adelaide,313.6,179.5,57.22,-0.54,134.2,42.78,0.54
4102104,SA,Adelaide,423.4,242.1,57.18,-0.24,181.3,42.82,0.24
4102105,SA,Adelaide,302.4,178.4,59,-1.87,124,41,1.87
4102106,SA,Adelaide,336,197.3,58.73,-2.17,138.7,41.27,2.17
4102107,SA,Adelaide,209.4,122,58.29,-2.26,87.32,41.71,2.26
4102108,SA,Adelaide,244.6,142.5,58.28,-1.96,102.1,41.72,1.96
4102109,SA,Adelaide,352.1,206.5,58.64,-1.95,145.6,41.36,1.95
4102110,SA,Adelaide,279,162.8,58.36,-2.31,116.2,41.64,2.31
4102111,SA,Adelaide,324.5,176.9,54.52,-1.72,147.6,45.48,1.72
4102113,SA,Adelaide,234,134,57.28,-0.88,99.97,42.72,0.88
4102114,SA,Adelaide,236.5,130.7,55.28,-1.82,105.8,44.72,1.82
4102115,SA,Adelaide,161.9,90.5,55.89,-2.17,71.43,44.11,2.17
4102116,SA,Adelaide,272.7,156.4,57.34,-0.6,116.3,42.66,0.6
4102117,SA,Adelaide,293.4,148.5,50.61,-5.17,144.9,49.39,5.17
4102118,SA,Adelaide,269,135.1,50.23,-4.61,133.9,49.77,4.61
4102119,SA,Adelaide,392.5,203.1,51.76,-1.92,189.3,48.24,1.92
4102120,SA,Adelaide,223.2,113.8,50.97,-1.17,109.5,49.03,1.17
4102121,SA,Adelaide,391.9,206.6,52.71,-1.87,185.3,47.29,1.87
4102122,SA,Adelaide,347.5,182.3,52.46,-3.26,165.2,47.54,3.26
4102123,SA,Adelaide,163,92.83,56.95,-0.74,70.17,43.05,0.74
4102124,SA,Adelaide,184.8,98.38,53.24,-2.72,86.41,46.76,2.72
4102125,SA,Adelaide,357.5,181.4,50.74,-4.91,176.1,49.26,4.91
4102126,SA,Adelaide,330.3,186.7,56.53,-0.91,143.6,43.47,0.91
4102127,SA,Adelaide,284.4,155.4,54.64,-1.43,129,45.36,1.43
4102128,SA,Adelaide,263,143.8,54.69,-2.01,119.2,45.31,2.01
4102129,SA,Adelaide,215,108.7,50.56,-3.83,106.3,49.44,3.83
4102130,SA,Adelaide,195.7,112,57.26,-1.8,83.63,42.74,1.8
4102131,SA,Adelaide,152.5,86.24,56.55,-2.39,66.26,43.45,2.39
4102132,SA,Adelaide,237.7,139.3,58.59,-1.69,98.44,41.41,1.69
4102133,SA,Adelaide,245.9,140.7,57.22,-0.83,105.2,42.78,0.83
4102134,SA,Adelaide,267.1,156.7,58.67,-1.83,110.4,41.33,1.83
4102135,SA,Adelaide,135.3,76.41,56.48,-1.03,58.88,43.52,1.03
4102201,SA,Adelaide,333.2,149.5,44.87,0.01,183.7,55.13,-0.01
4102202,SA,Adelaide,242.7,108.3,44.63,0.89,134.4,55.37,-0.89
4102203,SA,Adelaide,410.2,186.2,45.38,1.79,224.1,54.62,-1.79
4102204,SA,Adelaide,319.8,142.3,44.5,1.94,177.5,55.5,-1.94
4102205,SA,Adelaide,268.3,124.3,46.34,1.02,144,53.66,-1.02
4102206,SA,Adelaide,351.6,161.5,45.95,1.4,190,54.05,-1.4
4102207,SA,Adelaide,353.8,159.2,44.99,1.65,194.6,55.01,-1.65
4102208,SA,Adelaide,290.1,136.5,47.05,-0.4,153.6,52.95,0.4
4102209,SA,Adelaide,270.3,124.4,46.03,1.36,145.9,53.97,-1.36
4102210,SA,Adelaide,382.4,182.1,47.62,0.54,200.3,52.38,-0.54
4102211,SA,Adelaide,389.4,185.4,47.62,0.66,204,52.38,-0.66
4102212,SA,Adelaide,209.4,100,47.76,0.68,109.4,52.24,-0.68
4102213,SA,Adelaide,329.3,153.9,46.73,0.38,175.4,53.27,-0.38
4102214,SA,Adelaide,242.3,113.6,46.87,0.64,128.7,53.13,-0.64
4102215,SA,Adelaide,257.6,116.8,45.33,-1.29,140.8,54.67,1.29
4102216,SA,Adelaide,230.7,110.5,47.92,0.72,120.1,52.08,-0.72
4102217,SA,Adelaide,222.3,102,45.9,0.65,120.3,54.1,-0.65
4102301,SA,Adelaide,268.3,109.9,40.96,2.46,158.4,59.04,-2.46
4102302,SA,Adelaide,419.4,171.5,40.88,2.44,248,59.12,-2.44
4102303,SA,Adelaide,314,128,40.76,2.44,186,59.24,-2.44
4102304,SA,Adelaide,396.8,188.9,47.61,1.45,207.9,52.39,-1.45
4102305,SA,Adelaide,375.1,165.2,44.04,2.81,209.9,55.96,-2.81
4102306,SA,Adelaide,226.8,106.2,46.84,2.8,120.6,53.16,-2.8
4102309,SA,Adelaide,315.2,174.5,55.36,-0.18,140.7,44.64,0.18
4102310,SA,Adelaide,460.7,236.2,51.27,-0.33,224.5,48.73,0.33
4102312,SA,Adelaide,328.5,197.6,60.15,3.67,130.9,39.85,-3.67
4102313,SA,Adelaide,174.1,103.7,59.58,3.72,70.37,40.42,-3.72
4102314,SA,Adelaide,229.5,138.5,60.37,3.55,90.93,39.63,-3.55
4102315,SA,Adelaide,269.6,161.4,59.88,3.91,108.2,40.12,-3.91
4102316,SA,Adelaide,223.3,133.7,59.87,2.9,89.61,40.13,-2.9
4102317,SA,Adelaide,130.5,76.02,58.25,2.99,54.48,41.75,-2.99
4102318,SA,Adelaide,303.2,182.7,60.27,3.22,120.4,39.73,-3.22
4102319,SA,Adelaide,280.4,171.4,61.13,4.81,109,38.87,-4.81
4102320,SA,Adelaide,189.3,104.2,55.08,1.7,85.03,44.92,-1.7
4102322,SA,Adelaide,231.9,143.3,61.8,4.52,88.58,38.2,-4.52
4102323,SA,Adelaide,285.2,168.1,58.95,2.32,117.1,41.05,-2.32
4102324,SA,Adelaide,368.2,205.8,55.9,2.53,162.4,44.1,-2.53
4102325,SA,Adelaide,454.2,267,58.79,2.28,187.2,41.21,-2.28
4102326,SA,Adelaide,226.2,138.2,61.1,4.03,88.02,38.9,-4.03
4102337,SA,Adelaide,216.7,126.6,58.45,2.39,90.02,41.55,-2.39
4102338,SA,Adelaide,209.7,121.7,58.04,1.71,88,41.96,-1.71
4102339,SA,Adelaide,243.2,139.5,57.36,1.1,103.7,42.64,-1.1
4102341,SA,Adelaide,195.5,92.86,47.49,2.46,102.7,52.51,-2.46
4102401,SA,Adelaide,273.9,146.1,53.34,1.85,127.8,46.66,-1.85
4102402,SA,Adelaide,322.2,171.1,53.12,2.41,151,46.88,-2.41
4102403,SA,Adelaide,221.2,106.5,48.14,0.87,114.7,51.86,-0.87
4102406,SA,Adelaide,277.8,149,53.62,2.09,128.8,46.38,-2.09
4102407,SA,Adelaide,261.2,137.4,52.62,2.28,123.8,47.38,-2.28
4102408,SA,Adelaide,274.1,140.8,51.38,2.07,133.3,48.62,-2.07
4102409,SA,Adelaide,227.9,125.9,55.24,1.89,102,44.76,-1.89
4102413,SA,Adelaide,412.9,214.5,51.94,2.94,198.4,48.06,-2.94
4102414,SA,Adelaide,385,213,55.32,1.83,172,44.68,-1.83
4102415,SA,Adelaide,330,183.5,55.62,1.7,146.4,44.38,-1.7
4102416,SA,Adelaide,408.8,221.9,54.29,1.72,186.9,45.71,-1.72
4102417,SA,Adelaide,328.5,179.3,54.56,1.72,149.3,45.44,-1.72
4102418,SA,Adelaide,355.3,189.4,53.3,1.89,165.9,46.7,-1.89
4102425,SA,Adelaide,367.6,186.8,50.81,1.66,180.8,49.19,-1.66
4102428,SA,Adelaide,294.5,138.5,47.05,0.59,155.9,52.95,-0.59
4102429,SA,Adelaide,387.6,204.3,52.71,2.46,183.3,47.29,-2.46
4102430,SA,Adelaide,336.9,162.7,48.3,1.21,174.2,51.7,-1.21
4102431,SA,Adelaide,276.3,135.8,49.16,0.84,140.4,50.84,-0.84
4102432,SA,Adelaide,275.2,126.6,45.98,5.23,148.7,54.02,-5.23
4102433,SA,Adelaide,252.7,118,46.7,5.54,134.7,53.3,-5.54
4102434,SA,Adelaide,327.8,155.4,47.4,5.02,172.4,52.6,-5.02
4102435,SA,Adelaide,258.4,122.3,47.34,5.48,136.1,52.66,-5.48
4102436,SA,Adelaide,354.9,165,46.48,5.03,190,53.52,-5.03
4102437,SA,Adelaide,374.1,168.4,45.02,5,205.7,54.98,-5
4102440,SA,Adelaide,209,113.8,54.45,1.98,95.22,45.55,-1.98
4102441,SA,Adelaide,194.9,107.8,55.33,1.67,87.05,44.67,-1.67
4102442,SA,Adelaide,148,70.96,47.95,0.24,77.03,52.05,-0.24
4102443,SA,Adelaide,180.2,86.53,48.02,1.18,93.65,51.98,-1.18
4102444,SA,Adelaide,315.9,167.8,53.11,2.52,148.1,46.89,-2.52
4102445,SA,Adelaide,172.1,93.09,54.09,2.2,79.02,45.91,-2.2
4102449,SA,Adelaide,259.3,123.3,47.55,1.09,136,52.45,-1.09
4102450,SA,Adelaide,137.4,65.05,47.35,1.43,72.34,52.65,-1.43
4102451,SA,Adelaide,267,148.8,55.75,1.79,118.1,44.25,-1.79
4102452,SA,Adelaide,220.8,121.3,54.96,2.16,99.45,45.04,-2.16
4102453,SA,Adelaide,142.7,76.1,53.31,2.52,66.64,46.69,-2.52
4103604,SA,Adelaide,231.5,137.3,59.29,-4.35,94.23,40.71,4.35
4103605,SA,Adelaide,372.2,218.3,58.64,-4.15,153.9,41.36,4.15
4103606,SA,Adelaide,143.6,93.35,65.01,-2.8,50.24,34.99,2.8
4103607,SA,Adelaide,268.3,177.6,66.18,-4.04,90.75,33.82,4.04
4103608,SA,Adelaide,199.4,131,65.69,-6.39,68.4,34.31,6.39
4103609,SA,Adelaide,141.2,90.56,64.15,-6.1,50.61,35.85,6.1
4103610,SA,Adelaide,376.9,242.2,64.25,-5.82,134.8,35.75,5.82
4103611,SA,Adelaide,280.1,182.3,65.08,-5.37,97.82,34.92,5.37
4103612,SA,Adelaide,243.5,157.3,64.59,-4.61,86.24,35.41,4.61
4103613,SA,Adelaide,230.1,148.5,64.53,-4.28,81.62,35.47,4.28
4103614,SA,Adelaide,212.6,131.4,61.82,-3.82,81.17,38.18,3.82
4103615,SA,Adelaide,258.7,157.3,60.82,-3.53,101.4,39.18,3.53
4103616,SA,Adelaide,381.8,231.6,60.65,-3.3,150.2,39.35,3.3
4103617,SA,Adelaide,260.4,172.1,66.08,-3.1,88.33,33.92,3.1
4103618,SA,Adelaide,291.9,197.8,67.76,-2.96,94.13,32.24,2.96
4103619,SA,Adelaide,222.1,152,68.43,-2.77,70.13,31.57,2.77
4103620,SA,Adelaide,310.4,206.7,66.59,-2.8,103.7,33.41,2.8
4103621,SA,Adelaide,395.6,252.8,63.9,-2.65,142.8,36.1,2.65
4103622,SA,Adelaide,312.4,201.2,64.41,-2.43,111.2,35.59,2.43
4103623,SA,Adelaide,337.8,198.5,58.76,-3.92,139.3,41.24,3.92
4103624,SA,Adelaide,283.1,166.1,58.66,-4.86,117,41.34,4.86
