div,"Agriculture, Forestry and Fishing",Mining,Manufacturing,"Electricity, Gas, Water and Waste Services",Construction,Wholesale Trade,Retail Trade,Accommodation and Food Services,"Transport, Postal and Warehousing",Information Media and Telecommunications,Financial and Insurance Services,"Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services",Administrative and Support Services,Public Administration and Safety,Education and Training,Health Care and Social Assistance,Arts and Recreation Services,Other Services,Inadequately described,Not stated,Not applicable
Albert,189,333,2752,283,4806,1032,3767,2158,1622,452,784,707,1720,1354,1586,2641,3775,907,1440,1263,386,35925
Algester,122,177,2284,232,2094,1162,2848,1546,2058,274,779,510,1608,969,1552,2113,3345,296,1148,953,311,27919
Ashgrove,71,352,729,220,1540,507,1754,1468,730,497,1031,555,3100,704,3126,3031,3321,526,713,535,129,21929
Aspley,76,234,1057,293,1647,589,2160,1339,1319,323,799,414,1820,655,1944,2041,3286,354,777,546,221,22601
Barron River,427,502,969,247,2522,580,3016,2797,1925,267,439,653,1568,1265,2477,3096,4497,663,1076,748,292,30929
Beaudesert,1562,283,1961,321,3141,786,2307,1578,1328,248,411,423,1143,845,1463,2304,2632,426,1136,1042,281,32456
Brisbane Central,126,734,914,303,1623,712,2518,4026,1177,742,1800,1017,5415,1747,2370,2716,4266,735,971,944,335,27308
Broadwater,78,128,1163,105,2382,553,2565,2111,912,297,534,755,1298,1081,868,1617,2918,559,818,906,278,29665
Buderim,202,315,988,196,2579,504,2508,1820,701,286,773,570,1481,824,973,2354,3656,401,906,708,246,26952
Bulimba,81,580,1473,341,2377,865,2202,1701,1302,535,1469,780,3439,991,1914,2667,3679,554,966,827,240,23358
Bundaberg,1079,188,1032,142,1101,329,2030,1196,553,130,257,233,492,508,774,1353,2728,142,608,454,199,28146
Bundamba,199,311,3781,357,2696,1300,3621,1881,2443,432,1010,601,1636,1242,2707,2461,4437,347,1320,1275,534,44978
Burdekin,2868,810,1613,276,1350,365,1897,1292,1073,133,306,245,742,663,2609,1676,2310,176,776,584,265,26231
Burleigh,94,171,1091,149,3142,575,2735,2352,781,411,600,729,1639,942,1151,2434,3177,789,888,882,261,26485
Burnett,1927,463,1161,233,1566,346,1866,1279,718,128,250,283,682,601,900,1658,2686,164,672,548,254,30040
Cairns,228,279,888,214,1752,569,2812,3278,1797,206,403,556,1244,1276,1993,2098,3956,598,1117,720,349,33907
Callide,4481,1449,1144,484,1112,354,1442,823,632,61,144,154,404,504,933,1492,1738,74,610,507,304,27345
Caloundra,362,343,1093,225,2727,423,2395,1834,799,169,520,463,1037,866,989,1793,3052,437,843,708,261,29762
Capalaba,130,197,2023,268,2726,891,2598,1266,1556,293,622,395,1315,859,1417,1806,3126,340,1135,853,269,23286
Chatsworth,100,355,1515,326,2173,860,2526,1536,1282,405,1191,591,2532,931,1871,2770,3406,452,951,774,230,24377
Clayfield,102,479,1145,344,1853,768,2394,2079,1988,506,1346,882,3436,1057,2054,2229,3626,653,968,808,237,23289
Cleveland,199,372,1645,257,2723,808,2384,1491,1291,342,709,521,1618,881,1453,2059,3044,312,942,786,222,26206
Condamine,3003,586,2146,387,2386,995,2643,1320,1315,119,489,307,1010,632,1493,2474,2876,225,1176,860,313,30638
Cook,1595,1237,709,170,1392,217,1513,2161,895,81,140,231,413,804,2149,1781,2215,277,963,554,289,31864
Coomera,255,289,2743,279,4160,1049,3638,2135,1570,429,863,914,1752,1258,1349,2280,3462,880,1343,1419,378,42193
Currumbin,144,178,1035,130,2868,495,2405,2050,852,311,446,542,1347,864,1011,2082,3178,593,834,805,277,26081
Dalrymple,2416,2564,754,188,1236,312,1762,1247,698,99,182,240,547,550,1102,1961,2023,203,685,511,225,28932
Everton,59,246,1025,264,2085,633,2218,1328,1162,348,969,414,1952,767,2608,2603,3364,425,916,573,212,22025
Ferny Grove,90,267,900,262,2000,485,1893,1175,906,386,863,330,2239,710,2589,2586,3130,412,830,571,168,22936
Gaven,130,203,1821,187,3534,670,3322,2403,1129,408,601,626,1492,1194,1356,2129,3564,755,1257,1047,359,30277
Gladstone,310,909,3543,729,2733,514,2377,1587,2096,104,241,428,1485,767,1081,1980,1968,163,908,777,227,30698
Glass House,1469,373,1355,313,2946,527,2378,1450,1156,218,397,423,1146,850,1202,1986,2873,455,964,920,300,31688
Greenslopes,75,326,1001,233,1903,601,1958,1512,939,471,1160,499,2844,838,1934,3012,3912,476,845,585,194,22002
Gregory,3125,3670,429,240,1116,429,1563,1171,868,91,170,275,482,522,1220,1618,1338,155,802,470,239,21525
Gympie,1206,363,1520,171,1715,408,2055,1180,788,142,191,285,735,613,914,1624,2199,186,771,611,235,31378
Hervey Bay,189,267,573,226,1478,247,2204,1796,557,149,223,366,603,582,964,1666,3310,176,704,467,219,36062
Hinchinbrook,2909,650,1872,337,2048,525,2237,1399,1058,169,313,302,781,688,2153,1877,2486,223,931,751,288,28783
Inala,155,141,2565,182,1625,827,2203,1494,1555,253,526,329,1065,836,1242,1614,2718,208,1172,1012,424,36350
Indooroopilly,131,453,695,210,983,469,1974,1846,586,377,995,575,3406,709,1427,3787,3100,431,589,540,165,26503
Ipswich,141,180,2026,299,1803,581,2411,1280,1279,202,499,360,884,744,2325,2011,3145,199,861,706,259,29938
Ipswich West,428,236,2147,385,2114,639,2377,1208,1438,180,426,347,949,691,2273,2035,2978,268,939,714,254,32086
Kallangur,115,257,1840,303,2572,775,2986,1573,1712,309,689,396,1251,864,1725,1972,3142,307,1175,835,258,28080
Kawana,178,345,1181,235,3051,483,2851,1873,732,215,797,523,1220,884,1000,2057,3335,379,958,728,211,30262
Keppel,538,1803,1332,635,2029,601,2539,1709,1081,177,369,376,931,670,1648,2682,3026,243,1026,560,211,30392
Lockyer,2371,301,1847,341,2305,789,2239,1235,1730,183,397,326,945,706,1617,2090,2348,220,1028,832,310,31068
Logan,285,159,2363,261,3024,971,2491,1146,2022,209,433,409,859,839,1085,1584,2426,268,1080,1071,362,26876
Lytton,98,283,1840,230,2241,846,2187,1402,1780,344,767,503,1700,808,1550,2054,2989,315,970,825,253,25443
Mackay,151,1946,1294,195,1485,719,2033,1530,1196,109,273,364,831,579,948,1441,2267,181,967,593,255,23999
Mansfield,93,216,1207,243,1713,666,2151,1631,984,333,825,432,1930,743,1479,2520,3076,367,816,631,199,24646
Maroochydore,203,289,1006,212,2920,484,2566,2700,829,328,708,667,1514,994,940,2107,3722,457,947,779,254,28059
Maryborough,780,327,1258,264,1398,260,1837,1014,752,171,172,202,466,537,1045,1503,2509,126,662,523,227,35066
Mermaid Beach,84,150,1024,116,2657,591,3041,2874,866,491,836,1012,1927,1158,1032,2202,3121,883,1025,874,308,27379
Mirani,2220,4066,1446,272,1554,739,1962,1151,1774,84,204,293,721,735,940,1637,1859,152,1052,721,294,29656
Moggill,148,419,931,280,1555,609,1909,1198,716,398,877,504,3110,685,1549,3437,3123,374,739,619,174,24063
Morayfield,466,268,1852,368,3136,738,3024,1575,1603,251,521,419,1053,824,1408,1814,3068,272,1079,881,295,30823
Mount Coot-tha,90,513,661,235,1335,478,1965,2084,710,567,1162,733,4153,858,1797,2943,3557,590,669,621,153,20126
Mount Isa,1624,3243,343,151,753,253,1105,806,698,67,104,144,230,450,1497,1242,1401,88,562,356,190,17285
Mount Ommaney,94,312,1349,272,1557,725,2112,1381,950,350,881,472,2346,682,1796,2941,3220,308,854,609,210,23037
Mudgeeraba,180,190,1313,167,3041,629,3033,2277,891,482,744,746,1799,1149,1226,2497,3515,701,1181,997,283,29368
Mulgrave,1256,363,1145,248,2001,629,2414,1566,1122,145,306,309,785,770,1799,1908,2819,287,1111,679,332,30616
Mundingburra,87,346,825,311,1324,356,2121,1697,857,243,296,299,915,615,2400,2397,3321,243,725,406,210,24713
Murrumba,201,391,2375,367,3262,851,3756,2051,2258,380,937,628,1575,1080,2003,2433,4621,417,1283,1094,389,41044
Nanango,2390,693,1914,512,1455,422,1742,968,770,116,209,204,566,453,1225,1706,2208,146,681,591,267,31071
Nicklin,606,310,1271,200,2601,504,2380,1562,845,219,438,381,1065,873,945,1801,3650,357,940,773,268,29473
Noosa,254,283,832,150,2437,500,2562,2771,649,239,516,709,1423,1008,772,1891,2805,440,868,800,250,29973
Nudgee,84,317,1584,407,2114,784,2474,1997,2435,442,1001,474,2227,1095,2296,2190,3667,496,1014,827,320,26450
Pine Rivers,163,255,1834,337,2746,824,2825,1468,1553,294,777,400,1587,904,2277,2025,3406,360,1208,911,312,27277
Pumicestone,624,252,1182,190,2063,398,2163,1273,1078,152,294,372,736,709,971,1306,2611,220,731,651,271,36534
Redcliffe,96,181,1459,237,2272,576,1966,1397,1404,246,439,451,1043,754,1248,1636,3087,286,888,775,262,28733
Redlands,260,249,1770,279,3157,794,2377,1194,1326,279,600,441,1227,814,1266,2045,2789,310,1007,795,253,28530
Rockhampton,220,1022,1080,517,1535,640,2210,1651,1315,149,257,298,710,586,1357,1943,3436,184,946,480,230,28829
Sandgate,70,233,1512,345,1976,683,2175,1520,1795,365,728,439,1613,858,2065,2057,3603,405,877,673,239,25725
South Brisbane,103,489,1044,232,1732,631,2261,3279,1039,595,1182,784,3887,1231,2098,3395,4322,746,873,869,261,24627
Southern Downs,3788,229,1451,220,1472,389,2166,1396,1056,125,226,207,637,440,861,1751,2147,148,800,582,291,28737
