surname,givenName,prop17,votes17,party,division,prop15,votes15,swing,reg,n
Lanyon,Darryl,18.2,5055,ONP,Algester,0,0,18.2,MW,u
Pattison,Clinton,21.69,6025,LNP,Algester,39.56,11247,-17.87,MW,u
Enoch,Leeanne,51.92,14424,ALP,Algester,49.56,14089,2.36,MW,u
O'Brien,Patricia,8.2,2277,GRN,Algester,7.23,2056,0.97,MW,u
Mellish,Bart,37.52,12046,ALP,Aspley,38.2,10835,-0.68,MN,u
Hansen,James,9.46,3037,GRN,Aspley,9.39,2663,0.07,MN,u
Ross,Stephen,0.73,235,ZZZ,Aspley,0,0,0.73,MN,u
Skilbeck,Neil,1.43,458,CR,Aspley,0,0,1.43,MN,u
Byrne,Shaun,9.6,3081,ONP,Aspley,0,0,9.6,MN,u
Davis,Tracy,39.73,12757,LNP,Aspley,52.41,14868,-12.68,MN,u
King,Zachary,1.54,494,ZZZ,Aspley,0,0,1.54,MN,u
Grant,Barry,5,1425,ZZZ,Bancroft,0,0,5,SC,u
Thomas,Kara,26.76,7631,LNP,Bancroft,0,0,26.76,SC,u
Dejun,Simone,6.21,1772,GRN,Bancroft,0,0,6.21,SC,u
Whiting,Christopher,42.96,12252,ALP,Bancroft,0,0,42.96,SC,u
Boulis,Christopher,19.07,5438,ONP,Bancroft,0,0,19.07,SC,u
Trout,Michael,30.63,8686,LNP,Barron River,41.6,13866,-10.97,FNQ,r
Hodgetts,Andrew,2.91,826,ZZZ,Barron River,0,0,2.91,FNQ,r
Boyd,Cameron,12.52,3551,GRN,Barron River,10.18,3392,2.34,FNQ,r
Crawford,Craig,33.49,9497,ALP,Barron River,39.41,13138,-5.92,FNQ,r
Tonkin,Cheryl,3.66,1039,ZZZ,Barron River,0,0,3.66,FNQ,r
Schebella,Andrew,16.78,4760,ONP,Barron River,0,0,16.78,FNQ,r
O'Connor,Samuel,43.87,11405,LNP,Bonney,0,0,43.87,GC,u
Nightingale,Ronald,4.21,1095,ZZZ,Bonney,0,0,4.21,GC,u
Holzberger,Rowan,35.69,9279,ALP,Bonney,0,0,35.69,GC,u
Javanmard,Amin-Reza,9.77,2540,GRN,Bonney,0,0,9.77,GC,u
Buegge,Robert,6.46,1680,ZZZ,Bonney,0,0,6.46,GC,u
Ball,Brenden,21.4,5959,ONP,Broadwater,3.72,1061,17.68,GC,u
Kwon,Daniel,6.85,1908,GRN,Broadwater,7.52,2145,-0.67,GC,u
Crisafulli,David,48.48,13499,LNP,Broadwater,47.46,13537,1.02,GC,u
