div17,party,votes17,prop17,votes15,prop15,swing,reg,n
Algester,ALP,17898,64.43,15594,56.99,7.44,MW,u
Aspley,ALP,16430,51.17,12412,44.83,6.34,MN,u
Barron River,ALP,14707,51.86,16764,53.12,-1.26,FNQ,r
Broadwater,LNP,18928,67.98,14544,57.19,10.79,GC,u
Buderim,LNP,18169,61.41,16353,62.16,-0.75,SC,u
Bulimba,ALP,19499,60.78,16741,56.14,4.64,MS,u
Bundaberg,LNP,16142,54.2,11980,48.38,5.82,WB,r
Bundamba,ALP,18621,71.55,22753,71.43,0.12,WM,u
Burdekin,LNP,14866,50.8,12201,52.88,-2.08,NQ,r
Burleigh,LNP,15132,54.85,14984,56.16,-1.31,GC,u
Burnett,LNP,17962,60.65,15494,56.8,3.85,WB,r
Cairns,ALP,15167,53.39,16563,58.45,-5.06,FNQ,r
Callide,LNP,16220,56.11,13444,56.67,-0.56,CQ,r
Caloundra,LNP,15536,53.41,14223,53.82,-0.41,SC,u
Capalaba,ALP,17948,57.86,16160,57.06,0.8,MS,u
Chatsworth,LNP,15918,52.9,15864,52.62,0.28,MS,u
Clayfield,LNP,16829,52.41,16735,57.21,-4.8,MN,u
Condamine,LNP,19421,59.9,18837,66.28,-6.38,SWQ,r
Cook,ALP,14071,55.84,12527,56.77,-0.93,FNQ,r
Coomera,LNP,15673,53.47,18018,58.53,-5.06,GC,u
Cooper,ALP,19614,60.65,16009,54.25,6.4,MW,u
Currumbin,LNP,14775,53.31,14475,55.23,-1.92,GC,u
Everton,LNP,17784,54.94,14965,51.77,3.17,MN,u
Ferny Grove,ALP,16971,54.63,14445,50.82,3.81,MW,u
Gaven,ALP,13430,50.71,12214,47.76,2.95,GC,u
Gladstone,ALP,19028,70.7,17152,61.89,8.81,Cap,r
Glass House,LNP,15373,53.43,14890,51.41,2.02,SC,u
Greenslopes,ALP,18364,60.13,14947,54.25,5.88,MS,u
Gregory,LNP,13499,63.94,12342,61.07,2.87,CQ,r
Gympie,LNP,18640,58.68,13833,57.1,1.58,WB,r
Hervey Bay,LNP,18880,59.1,16334,56.62,2.48,WB,r
Inala,ALP,20778,76.09,20271,75.12,0.97,MW,u
Ipswich,ALP,16262,60.89,18517,65.9,-5.01,WM,u
Ipswich West,ALP,16844,58.72,16376,57.71,1.01,WM,u
Kawana,LNP,18354,63.07,16991,60.09,2.98,SC,u
Keppel,ALP,16419,53.14,16465,54.8,-1.66,Cap,r
Kurwongbah,ALP,16874,56.99,16196,56.13,0.86,MN,u
Lockyer,LNP,15666,54.07,13230,50.22,3.85,WM,u
Logan,ALP,15426,56.83,15346,60.82,-3.99,WM,u
Lytton,ALP,19541,62.02,16754,59.8,2.22,MS,u
McConnel,ALP,15874,57.86,14334,53.25,4.61,MN,u
