div17,Candidate,Party,Votes,Prop
Algester,"ENOCH, Leeanne",ALP,17898,64.43
Aspley,"MELLISH, Bart",ALP,16430,51.17
Bancroft,"WHITING, Chris",ALP,16029,56.21
Barron River,"CRAWFORD, Craig",ALP,14707,51.86
Bonney,"O'CONNOR, Sam",LNP,13439,51.69
Broadwater,"CRISAFULLI, David",LNP,18928,67.98
Buderim,"MICKELBERG, Brent",LNP,18169,61.41
Bulimba,"FARMER, Di",ALP,19499,60.78
Bundaberg,"BATT, David",LNP,16142,54.2
Bundamba,"MILLER, Jo-Ann",ALP,18621,71.55
Burdekin,"LAST, Dale",LNP,14866,50.8
Burleigh,"HART, Michael",LNP,15132,54.85
Burnett,"BENNETT, Stephen",LNP,17962,60.65
Cairns,"HEALY, Michael",ALP,15167,53.39
Callide,"BOYCE, Colin",LNP,16220,56.11
Caloundra,"MCARDLE, Mark",LNP,15536,53.41
Capalaba,"BROWN, Don",ALP,17948,57.86
Chatsworth,"MINNIKIN, Steve",LNP,15918,52.9
Clayfield,"NICHOLLS, Tim",LNP,16829,52.41
Condamine,"WEIR, Pat",LNP,19421,59.9
Cook,"LUI, Cynthia",ALP,14071,55.84
Coomera,"CRANDON, Michael",LNP,15673,53.47
Cooper,"JONES, Kate",ALP,19614,60.65
Currumbin,"STUCKEY, Jann",LNP,14775,53.31
Everton,"MANDER, Tim",LNP,17784,54.94
Ferny Grove,"FURNER, Mark",ALP,16971,54.63
Gaven,"SCANLON, Meaghan",ALP,13430,50.71
Gladstone,"BUTCHER, Glenn",ALP,19028,70.7
Glass House,"POWELL, Andrew",LNP,15373,53.43
Greenslopes,"KELLY, Joe",ALP,18364,60.13
Gregory,"MILLAR, Lachlan",LNP,13499,63.94
Gympie,"PERRETT, Tony",LNP,18640,58.68
Hervey Bay,"SORENSEN, Ted",LNP,18880,59.1
Hill,"KNUTH, Shane",KAP,21815,69.75
Hinchinbrook,"DAMETTO, Nick",KAP,16288,57.55
Inala,"PALASZCZUK, Annastacia",ALP,20778,76.09
Ipswich,"HOWARD, Jennifer",ALP,16262,60.89
Ipswich West,"MADDEN, Jim",ALP,16844,58.72
Jordan,"MULLEN, Charis",ALP,16669,59.91
Kawana,"BLEIJIE, Jarrod",LNP,18354,63.07
Keppel,"LAUGA, Brittany",ALP,16419,53.14
Kurwongbah,"KING, Shane",ALP,16874,56.99
Lockyer,"MCDONALD, Jim",LNP,15666,54.07
Logan,"POWER, Linus",ALP,15426,56.83
Lytton,"PEASE, Joan",ALP,19541,62.02
Macalister,"MCMAHON, Melissa",ALP,15999,57.45
McConnel,"GRACE, Grace",ALP,15874,57.86
Mackay,"GILBERT, Julieanne",ALP,18054,58.34
Maiwar,"BERKMAN, Michael",GRN,16449,51.63
Mansfield,"MCMILLAN, Corrine",ALP,14908,51.62
Maroochydore,"SIMPSON, Fiona",LNP,16587,58.52
Maryborough,"SAUNDERS, Bruce",ALP,16497,52.46
Mermaid Beach,"STEVENS, Ray",LNP,15110,56.26
Miller,"BAILEY, Mark",ALP,17439,58.18
Mirani,"ANDREW, Stephen",ONP,15801,54.82
Moggill,"ROWAN, Christian",LNP,17055,55.03
Morayfield,"RYAN, Mark",ALP,16814,58.72
Mount Ommaney,"PUGH, Jess",ALP,17255,55.76
Mudgeeraba,"BATES, Ros",LNP,17795,59.85
Mulgrave,"PITT, Curtis",ALP,16789,60.92
Mundingburra,"O'ROURKE, Coralee",ALP,14268,51.13
Murrumba,"MILES, Steven",ALP,18396,59.52
Nanango,"FRECKLINGTON, Deb",LNP,19871,63.36
Nicklin,"HUNT, Marty",LNP,15227,55.28
Ninderry,"PURDIE, Dan",LNP,17301,58.38
Noosa,"BOLTON, Sandy",,18578,61.53
Nudgee,"LINARD, Leanne",ALP,19940,64.32
Oodgeroo,"ROBINSON, Mark",LNP,15883,57.24
Pine Rivers,"BOYD, Nikki",ALP,18255,56.19
Pumicestone,"WILSON, Simone",LNP,15015,50.84
Redcliffe,"D'ATH, Yvette",ALP,16811,54.86
Redlands,"RICHARDS, Kim",ALP,15760,53.06
Rockhampton,"O'ROURKE, Barry",ALP,16825,55.19
Sandgate,"HINCHLIFFE, Stirling",ALP,19969,63.48
Scenic Rim,"KRAUSE, Jon",LNP,19819,63.12
South Brisbane,"TRAD, Jackie",ALP,14887,53.55
Southern Downs,"LISTER, James",LNP,19584,63.06
Southport,"MOLHOEK, Rob",LNP,15197,57.24
Springwood,"DE BRENNI, Mick",ALP,16125,53.59
Stafford,"LYNHAM, Anthony",ALP,19830,62.1
Stretton,"PEGG, Duncan",ALP,16640,59.89
Surfers Paradise,"LANGBROEK, John-Paul",LNP,17799,69.78
Theodore,"BOOTHMAN, Mark",LNP,14445,53.72
Thuringowa,"HARPER, Aaron",ALP,15795,54.15
Toohey,"RUSSO, Peter",ALP,16526,60.01
Toowoomba North,"WATTS, Trevor",LNP,17337,55.72
Toowoomba South,"JANETZKI, David",LNP,19208,59.98
Townsville,"STEWART, Scott",ALP,14189,50.38
Traeger,"KATTER, Robbie",KAP,16163,78.49
